(3.92, -3.01, 0.84)
(1.96, 1.12, -2.66)
(3.71, -5.32, 0.35)
(1.47, -2.24, -1.54)
(0.63, -2.45, -2.17)
(0.00, -1.68, -3.57)
(4.13, -7.28, -2.45)
(9.03, -8.33, 8.33)
(-12.39, -5.88, -57.68)
(1.40, -49.77, -110.74)
(51.03, -6.44, -94.99)
(41.58, 44.66, 18.76)
(5.11, 37.38, 130.83)
(35.21, 10.29, 73.50)
(-39.76, -31.36, 25.13)
(-17.08, -54.95, -130.20)
(-3.85, -46.76, -146.79)
(-14.21, -43.96, -41.93)
(-36.12, 19.74, 88.97)
(11.62, -15.33, 157.64)
(-18.69, -0.56, 72.31)
(-44.17, 3.57, -3.85)
(-17.01, -0.98, -104.23)
(51.17, 28.84, -158.27)
(43.47, -16.73, -57.82)
(-37.45, 52.92, 87.29)
(-93.52, 47.46, 143.01)
(-54.25, 10.64, 93.66)
(2.80, -21.84, -0.35)
(7.42, -24.71, 5.74)
(30.87, 27.72, -3.15)
(-0.70, 6.02, 7.49)
(52.43, -0.35, 14.42)
(3.71, -12.95, -17.08)
(16.10, -6.23, -18.76)
(38.15, -40.81, -48.79)
(51.52, 46.41, -54.67)
(-4.83, 72.38, -50.47)
(-52.99, -40.95, 47.46)
(-101.71, -31.99, 47.74)
(-136.43, -5.60, 40.95)
(-120.26, 9.45, 26.32)
(-55.23, 0.00, 27.16)
(-10.92, 3.85, 10.85)
(-3.15, -2.45, -24.36)
(20.09, -21.84, -10.36)
(53.34, -44.24, -35.70)
(79.24, -41.86, -34.02)
(79.17, -30.94, -40.81)
(94.01, -5.53, -41.16)
(94.08, 1.82, -42.84)
(64.61, -6.51, -27.79)
(41.93, -1.47, -27.51)
(34.09, -9.24, -40.60)
(13.30, 10.99, -54.60)
(7.77, -3.50, -69.79)
(11.27, -6.09, -69.86)
(-8.19, -31.43, -56.63)
(-1.89, -15.12, -78.96)
(-1.75, -45.15, -62.93)
(-11.06, -14.14, -55.72)
(-0.56, -18.55, -88.41)
(-1.26, -17.29, -54.60)
(4.13, -12.81, -43.75)
(2.10, -6.02, -38.78)
(-0.21, -7.00, -31.29)
(-2.38, -9.17, -26.11)
(-2.17, -6.16, -14.28)
(-0.14, -3.99, -12.74)
(2.03, -5.04, -12.18)
(1.82, -4.76, -4.76)
(0.00, -1.33, 5.39)
(1.33, -3.22, 11.27)
(1.75, -1.68, 7.00)
(0.70, -0.63, 4.83)
(0.98, -0.70, 9.03)
(-0.70, 4.41, 27.86)
(3.29, 9.38, 43.19)
(6.93, 21.35, 68.60)
(8.61, 34.44, 101.15)
(5.46, 39.27, 140.35)
(-4.41, 20.44, 142.66)
(-40.46, -27.58, 165.62)
(-15.89, 3.36, 82.88)
(-17.29, -12.95, 79.59)
(-7.84, -1.47, 27.86)
(-4.55, -6.93, 9.73)
(-7.91, 2.38, -6.30)
(-12.81, 2.80, -11.69)
(-8.05, 4.06, -5.60)
(-18.69, 3.78, 8.61)
(-11.20, 3.92, 2.80)
(1.26, 6.72, -2.31)
(0.56, -1.54, 1.12)
(-2.24, -4.13, -0.98)
(-4.76, -1.12, -1.61)
(2.31, -1.89, -0.91)
(2.24, 1.82, 0.63)
(-15.12, 9.94, 6.44)
(-27.16, 22.68, -0.98)
(-6.16, -3.43, 17.29)
(18.13, -15.75, -0.49)
(20.37, -10.29, 13.79)
(31.36, 19.67, -13.02)
(41.44, -11.06, -15.54)
(22.40, -13.44, -8.26)
(7.63, -0.28, -17.08)
(-3.29, -14.49, 10.08)
(14.98, -9.80, 26.88)
(8.61, -11.97, 7.28)
(4.69, -2.94, -23.66)
(-18.55, 5.25, -9.52)
(-26.53, 13.09, -26.81)
(29.40, 6.51, 4.20)
(7.14, -17.57, 22.96)
(14.21, -17.43, -15.54)
(-5.46, -4.97, -2.17)
(2.80, -2.66, -6.58)
(4.90, -7.00, -1.26)
(0.35, 0.00, -0.14)
(-1.26, 9.24, 7.63)
(-1.96, 4.90, 5.46)
(1.89, 1.75, 4.06)
(1.40, 0.14, 4.55)
(-0.49, -0.07, -0.07)
(-2.03, -3.08, -0.21)
(-3.85, -4.34, 0.42)
(-2.59, -4.97, -0.77)
(1.75, -11.06, -0.84)
(-4.13, -2.52, -0.63)
(-0.56, -6.86, -5.46)
(-2.17, 6.44, -1.54)
(0.42, -2.87, 0.00)
(1.82, -2.94, 2.10)
(3.36, -5.04, 3.71)
(0.77, -2.73, -0.49)
(1.33, -3.85, -1.54)
(2.03, -1.75, 0.49)
(1.61, -1.68, 0.70)
(4.69, 0.77, -5.18)
(7.56, -11.20, -3.57)
(-0.49, -1.40, -2.45)
(1.12, -2.59, -5.53)
(2.03, -2.59, -1.12)
(3.22, -6.51, -2.52)
(4.90, 1.96, -4.55)
(6.58, -5.11, -2.59)
(3.64, -5.95, -4.55)
(6.51, -8.75, -2.94)
(1.26, -5.46, 0.35)
(-0.07, -5.11, 0.49)
(0.42, -5.88, 4.20)
(-0.91, -7.98, 3.50)
(0.84, -5.95, 1.68)
(4.97, -3.57, 0.00)
(5.74, -4.55, -2.87)
(4.97, -3.29, -1.33)
(3.22, -5.32, 0.42)
(0.91, -3.15, 1.68)
(2.87, -3.29, -0.35)
(4.06, -4.34, 0.84)
(3.15, -5.04, 1.33)
(2.87, -3.78, 0.14)
(2.80, -5.18, -0.14)
(2.24, -3.71, 0.56)
(0.98, -3.08, -0.21)
(2.59, -1.54, -0.70)
(1.68, -1.26, -0.56)
(3.15, -3.50, -1.68)
(0.98, -2.94, -2.17)
(0.98, -4.20, 2.10)
(-3.08, 1.40, 0.42)
(-0.07, -1.47, -0.91)
(1.61, -2.31, -3.99)
(4.48, -1.47, 0.77)
(3.08, -3.36, -1.54)
(2.10, -5.60, -2.66)
(1.12, -5.11, -1.19)
(0.00, -1.40, -0.35)
(0.70, -2.59, -0.70)
(-1.05, -1.54, -0.49)
(-0.77, -0.21, -0.98)
(2.24, 1.33, -3.15)
(2.73, 1.26, -3.08)
(1.68, -1.68, -1.05)
(0.21, 0.49, -1.26)
(2.59, -7.84, 1.54)
(-1.19, -2.03, 1.40)
(0.00, -3.50, -0.07)
