(2.17, -3.08, -0.56)
(2.80, -3.50, -0.70)
(2.38, -3.36, -0.49)
(2.10, -3.08, -3.08)
(2.38, -3.08, -0.84)
(-0.49, -3.01, 1.96)
(1.40, -3.22, 0.21)
(1.89, -3.43, 0.35)
(-6.23, -6.44, -3.50)
(-22.05, -3.99, 0.84)
(-10.85, 4.06, -0.77)
(17.01, 7.21, -13.93)
(-14.77, -3.64, 1.12)
(-4.90, -7.21, -1.05)
(6.02, -4.55, 2.10)
(5.18, -4.69, -0.35)
(-9.24, -2.87, -10.36)
(2.17, -3.01, -0.35)
(-2.17, -5.46, -3.01)
(-11.90, -9.59, -0.49)
(3.36, -3.15, -4.55)
(6.93, -18.76, -20.02)
(18.97, -33.32, -51.17)
(-38.99, -39.34, -32.90)
(-85.26, 10.36, 26.67)
(-143.57, 11.20, 38.08)
(-104.58, 13.72, 4.55)
(-117.95, -4.62, 16.03)
(-60.20, 3.50, -12.11)
(-11.97, 10.22, 51.73)
(-1.89, 35.70, 27.44)
(-6.09, -108.36, -51.80)
(-21.70, 4.27, -36.75)
(45.08, -19.60, -15.26)
(-25.27, 14.91, 0.98)
(15.05, -20.16, -15.89)
(20.37, -0.35, 11.83)
(43.82, 65.10, -26.67)
(70.70, 27.86, -30.31)
(-75.53, -44.59, 34.51)
(-88.97, -29.05, 29.75)
(-96.88, -12.60, 7.70)
(-48.79, -3.64, 41.16)
(84.56, -48.37, 70.42)
(143.43, 40.67, -23.24)
(16.66, -21.14, -52.50)
(-138.60, -33.74, 3.01)
(-52.57, -14.00, 36.26)
(69.93, 1.47, -7.70)
(34.16, 4.34, -18.55)
(4.90, -1.75, 6.72)
(1.96, -8.68, 5.11)
(20.09, -19.18, -9.52)
(20.30, -31.85, -34.44)
(23.45, -34.65, -96.46)
(9.45, 2.87, -119.21)
(28.35, 13.37, -115.50)
(13.23, -6.65, -92.26)
(-4.48, -29.68, -40.25)
(-3.08, -9.94, -54.25)
(2.17, -2.94, -76.65)
(14.35, -0.77, -64.05)
(2.59, -8.89, -62.37)
(0.49, -4.83, -38.08)
(-0.21, -11.06, -21.00)
(0.42, -7.91, -24.92)
(-0.42, -7.63, -28.77)
(-0.42, -2.24, -11.97)
(2.94, -4.41, -11.97)
(2.31, -4.27, -8.12)
(2.52, -3.22, -10.36)
(3.22, -3.99, -10.50)
(2.38, -5.81, -9.80)
(1.96, -5.25, -10.29)
(2.52, -4.62, -10.01)
(-0.07, -6.30, -6.93)
(0.21, -5.18, -7.56)
(1.33, -4.48, -7.07)
(1.61, -2.87, -2.10)
(1.82, -4.55, -0.84)
(2.31, -4.83, -0.21)
(2.38, -2.17, -2.87)
(3.36, -3.92, -2.38)
(0.77, -4.69, -0.70)
(1.68, -3.15, -0.07)
(1.96, -2.45, 1.40)
(2.24, -3.01, 0.00)
(1.96, -3.85, -1.40)
(3.08, -4.69, 0.14)
(3.22, -3.43, -1.26)
(2.73, -2.80, 1.26)
(1.40, -2.17, 3.57)
(2.31, -2.03, 16.03)
(4.69, 0.84, 21.42)
(6.23, 0.84, 23.59)
(6.02, 5.60, 35.63)
(13.58, 6.23, 61.25)
(28.70, 34.65, 115.29)
(31.92, 38.85, 172.97)
(-8.75, 32.13, 195.86)
(-169.40, 2.73, 150.64)
(-66.01, 1.75, 108.78)
(-6.86, 2.03, 46.97)
(12.53, -0.28, 1.54)
(-3.15, -6.72, 12.46)
(-17.08, -16.10, -0.77)
(-11.90, -9.94, 0.49)
(1.26, 1.33, -6.30)
(-25.90, -10.85, -5.60)
(-23.45, -14.77, 8.47)
(-2.94, -8.19, -0.49)
(6.86, -1.47, -5.11)
(9.31, 3.43, 1.96)
(-0.70, 0.35, 1.96)
(4.27, -8.68, 1.47)
(2.03, 4.13, 2.10)
(0.70, 2.03, -2.94)
(1.19, -1.89, -0.91)
(2.80, -6.72, 12.11)
(2.45, 2.31, -6.79)
(2.10, 1.61, 7.21)
(0.07, 1.05, -0.49)
(1.54, 0.07, -5.67)
(0.70, -0.42, -4.62)
(2.94, -6.86, 1.54)
(3.43, -5.53, -0.70)
(2.45, 0.14, -6.93)
(3.43, -4.20, -8.61)
(14.77, -5.32, -13.58)
(9.52, -3.08, -19.25)
(7.63, 0.35, -2.80)
(15.26, -9.31, -15.47)
(42.42, -24.50, -38.22)
(41.23, 1.75, -17.43)
(21.00, 3.92, 8.89)
(19.88, -4.13, 4.34)
(17.78, -12.67, -4.55)
(23.31, -1.05, -24.36)
(-0.70, -9.73, 20.09)
(3.78, 5.74, 0.70)
(-2.10, -4.27, 8.05)
(-1.05, -1.75, 5.81)
(3.22, -0.35, -0.28)
(9.87, -0.21, -6.93)
(9.38, -6.51, 1.26)
(18.97, -21.07, -1.26)
(60.83, -29.33, -27.44)
(86.03, -10.92, -20.37)
(96.04, -4.62, -24.29)
(62.93, 38.99, 47.53)
(82.53, -4.06, 15.54)
(48.86, -5.95, 6.23)
(97.16, 24.92, -28.42)
(95.48, 4.48, 1.40)
(84.84, 25.20, -12.25)
(23.24, 22.75, 45.15)
(-3.71, -57.89, 28.14)
(-14.84, -39.55, 1.19)
(7.98, -3.99, -9.94)
(0.84, -9.87, -11.69)
(9.10, -6.58, -6.93)
(0.91, -1.96, -1.75)
(14.28, -3.78, -2.59)
(3.15, -3.64, -1.40)
(2.24, -4.27, 0.35)
(9.03, 5.60, -2.38)
(0.42, -8.26, -0.98)
(1.47, -2.80, 0.91)
(2.31, -4.48, -0.14)
(4.48, 2.59, -5.18)
(2.45, 0.21, -1.61)
(1.96, -4.41, -0.42)
(1.26, -3.43, 0.49)
(2.03, -2.59, -0.14)
(2.17, -3.57, -0.49)
(2.10, -3.50, -0.21)
(1.89, -3.71, 0.00)
(0.77, -4.20, -0.49)
(2.17, -2.10, -0.35)
