(2.03, -3.57, 0.21, 100, -2.84)
(2.10, -3.57, 0.42, 100, -2.78)
(2.52, -3.50, 0.14, 100, -2.59)
(2.52, -3.64, 0.35, 100, -2.28)
(2.66, -3.50, 0.28, 100, -1.97)
(3.15, -3.43, 0.14, 100, -1.66)
(2.52, -3.50, 0.07, 100, -1.37)
(2.73, -3.43, -0.07, 100, -1.09)
(2.73, -3.36, 0.21, 100, -0.92)
(2.45, -3.29, -0.07, 100, -0.76)
(2.66, -3.29, -0.07, 100, -0.71)
(2.73, -3.29, 0.14, 100, -0.76)
(2.59, -3.43, 0.91, 100, -0.81)
(2.45, -3.15, -0.28, 100, -0.76)
(2.73, -3.22, -0.21, 100, -0.80)
(2.31, -3.22, 0.07, 100, -0.84)
(2.87, -3.29, -0.35, 100, -0.78)
(1.61, -3.01, -0.91, 100, -0.82)
(3.15, -2.94, -1.12, 100, -0.97)
(4.55, -3.01, -1.05, 100, -1.11)
(2.24, -3.36, 0.35, 100, -1.20)
(-1.12, -2.17, 2.24, 100, -1.29)
(3.29, -3.29, -9.80, 100, -1.27)
(9.03, -3.57, -6.58, 100, -1.39)
(6.65, -2.59, 3.57, 100, -1.53)
(-5.88, -3.99, 15.19, 100, -1.67)
(-8.19, -3.78, 0.91, 100, -1.56)
(29.75, 0.07, -1.05, 100, -1.51)
(1.47, -3.22, -9.38, 100, -1.27)
(24.15, -2.03, 6.23, 100, -1.16)
(9.73, -1.89, 7.35, 100, -1.06)
(-9.66, -3.50, -2.73, 100, -1.24)
(-3.85, -5.18, -5.67, 100, -1.42)
(-0.84, -6.79, -4.20, 100, -1.74)
(2.10, -2.45, 1.05, 100, -2.02)
(4.20, 2.52, 1.26, 100, -2.26)
(-6.65, 21.49, 2.52, 100, -2.52)
(4.13, -15.54, -15.75, 100, -2.36)
(2.59, -7.35, -8.61, 100, -2.49)
(3.29, -12.67, -6.30, 100, -2.69)
(7.21, -6.65, 0.56, 100, -3.21)
(4.20, -2.31, -0.14, 100, -3.65)
(4.55, -5.81, -3.01, 100, -4.52)
(7.63, 7.14, 2.66, 100, -5.06)
(0.56, -7.98, -4.90, 100, -5.28)
(0.70, -8.40, -4.13, 100, -5.41)
(6.23, 0.07, -5.81, 100, -5.79)
(15.26, -10.36, 0.56, 100, -6.25)
(12.11, -1.89, 8.05, 100, -6.59)
(13.30, -6.44, -1.12, 100, -7.03)
(16.94, 0.91, 6.51, 100, -7.28)
(8.82, -1.26, -2.31, 100, -7.35)
(7.07, -7.35, -5.46, 100, -7.35)
(12.46, -9.87, 3.57, 100, -7.49)
(12.18, -1.05, 10.01, 100, -7.56)
(2.17, -8.19, -2.31, 100, -7.55)
(-2.73, 7.56, -2.66, 100, -7.71)
(-15.54, -1.61, -30.03, 100, -8.03)
(-30.94, 0.91, -54.46, 100, -8.75)
(-42.00, -11.06, -89.11, 100, -10.53)
(-37.87, -13.79, -106.89, 100, -14.05)
(-31.85, -7.14, -82.39, 100, -19.48)
(-14.21, -5.81, -63.42, 100, -26.34)
(2.45, -0.77, -41.09, 100, -33.90)
(-1.26, 5.67, -52.64, 100, -41.30)
(-9.10, 4.20, -53.13, 100, -48.09)
(-10.36, 1.33, -51.45, 100, -53.86)
(2.66, 6.79, -48.93, 100, -59.07)
(7.00, 5.60, -49.63, 20, -64.01)
(9.66, 3.43, -45.78, 20, -68.32)
(11.83, 1.82, -38.64, 20, -71.76)
(11.97, 2.94, -36.61, 20, -74.30)
(3.29, 5.04, -43.05, 20, -75.96)
(6.02, 3.36, -38.50, 20, -76.80)
(11.48, 5.11, -32.41, 20, -77.60)
(14.98, 8.33, -28.91, 20, -78.35)
(13.79, 10.08, -31.08, 20, -79.05)
(9.73, 8.75, -34.16, 20, -79.74)
(9.45, 7.70, -34.86, 20, -80.39)
(8.54, 6.51, -36.89, 20, -81.03)
(8.47, 4.20, -37.10, 20, -81.69)
(6.44, 2.73, -35.56, 20, -82.39)
(3.78, -0.56, -33.81, 20, -83.10)
(4.97, -0.84, -32.48, 20, -83.81)
(2.73, 0.70, -31.64, 20, -84.51)
(-1.26, 0.70, -31.01, 20, -85.19)
(0.77, -0.14, -28.70, 20, -85.85)
(9.66, -0.77, -25.62, 20, -86.47)
(4.48, -3.36, -25.34, 20, -87.07)
(-0.49, -2.03, -25.06, 20, -87.63)
(-2.45, 0.42, -26.25, 20, -88.17)
(-3.29, -2.52, -25.55, 20, -88.69)
(-3.78, -2.52, -24.57, 20, -89.20)
(-4.48, -0.21, -23.52, 20, -89.70)
(-3.43, -0.35, -22.47, 20, -90.20)
(-1.75, -2.87, -22.40, 20, -90.69)
(-1.75, 0.56, -19.95, 20, -91.16)
(1.75, 3.29, -17.43, 20, -91.61)
(4.13, 2.80, -17.01, 20, -92.03)
(1.40, 0.91, -17.99, 20, -92.43)
(0.28, 1.26, -23.87, 20, -92.81)
(0.07, -1.05, -20.93, 20, -93.20)
(0.63, -1.47, -17.57, 20, -93.59)
(1.89, -0.49, -17.01, 20, -93.98)
(-0.07, -1.33, -19.74, 20, -94.37)
(-3.29, -5.81, -23.87, 20, -94.76)
(-0.91, -4.83, -21.98, 20, -95.16)
(1.40, -2.73, -21.21, 20, -95.57)
(0.21, -2.66, -20.93, 20, -95.99)
(-2.73, -3.08, -22.75, 20, -96.42)
(-1.19, -0.84, -21.77, 20, -96.87)
(3.92, -1.40, -17.50, 20, -97.31)
(8.54, -1.05, -18.20, 20, -97.73)
(2.94, -5.04, -19.95, 20, -98.13)
(1.82, -3.36, -19.32, 20, -98.53)
(2.38, -2.80, -18.34, 20, -98.91)
(0.91, -3.71, -19.95, 20, -99.28)
(-0.35, -2.87, -19.39, 20, -99.67)
(-0.21, -1.40, -20.72, 20, -100.06)
(-1.19, -1.33, -20.23, 20, -100.45)
(-2.31, -2.38, -20.37, 20, -100.85)
(-2.31, -1.33, -20.30, 20, -101.26)
(-3.15, -3.85, -22.12, 20, -101.66)
(-3.43, -3.71, -20.09, 20, -102.08)
(-1.19, -2.66, -20.44, 20, -102.49)
(0.42, -2.10, -17.92, 20, -102.91)
(0.84, -3.78, -17.15, 20, -103.31)
(0.21, -2.87, -17.22, 20, -103.71)
(0.21, -1.05, -16.10, 20, -104.08)
(3.78, -1.96, -12.53, 20, -104.44)
(5.11, -4.48, -12.81, 20, -104.77)
(-5.11, -3.15, -14.42, 20, -105.07)
(-1.47, -2.52, -10.64, 20, -105.37)
(3.15, -4.69, -8.82, 20, -105.63)
(0.49, -6.02, -7.00, 20, -105.87)
(-3.29, -4.83, -5.04, 20, -106.10)
(-2.31, -5.11, -5.25, 20, -106.30)
(-1.47, -7.98, -3.78, 20, -106.48)
(-0.70, -11.06, -0.21, 20, -106.64)
(1.96, -9.59, 1.05, 20, -106.81)
(-0.28, -10.29, 0.77, 20, -106.91)
(-0.28, -10.43, -0.84, 20, -106.94)
(-1.12, -11.20, 0.84, 20, -106.98)
(0.00, -10.08, 6.09, 20, -106.94)
(2.10, -8.75, 6.30, 20, -106.81)
(-0.42, -9.38, 11.20, 20, -106.68)
(2.45, -6.44, 17.92, 20, -106.53)
(8.47, -7.00, 23.59, 20, -106.26)
(5.18, -6.44, 35.00, 20, -105.94)
(7.28, -9.73, 43.96, 20, -105.52)
(14.49, -14.35, 53.97, 20, -104.98)
(18.48, -19.04, 64.47, 20, -104.27)
(16.80, -20.93, 81.90, 20, -103.37)
(19.39, -18.90, 118.93, 20, -102.23)
(26.32, -18.27, 115.99, 20, -100.76)
(22.40, -23.03, 113.12, 20, -99.01)
(16.17, -28.35, 115.57, 20, -97.01)
(19.32, -30.10, 119.70, 20, -94.81)
(16.10, -27.23, 124.39, 20, -92.45)
(16.38, -22.89, 125.30, 20, -90.06)
